target_id	target_prefix	description	status	skip_reason	sequence_records	entity_count	total_len	output_json
H0272	H	dystrophin-glycoprotein complex (DGC) 9c3c	ok		9	9	6879	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H1267	H	XauSPARDA	ok		2	2	926	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S2	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	363	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S3	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	318	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S4	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	289	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S5	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	291	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S6	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	624	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S7	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	242	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S8	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	818	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0272S9	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	238	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1267S1	T	XauSPARDA	ok		1	1	444	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1267S2	T	XauSPARDA	ok		1	1	482	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2237	T	Bd3071	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M0276	M	One domain of  A0A026WM60_OOCBI in complex with 33mer ssDNA	ok		2	2	73	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2238	T	Bd2098	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1268	M	Activated XauSPARDA with nucleic acids	ok		6	6	996	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1275	T	C12orf29   <em><font color=red>Canceled - bioRxiv preprint available.</font></em>	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2240	T	Bd3442	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2269	T	MUC5AC uniprot P98088	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2244	H	BJCNb48	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1270	T	HtrA	ok		1	1	437	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1277	T	Tue1   <em><font color=red>Canceled - bioRxiv preprint available.</font></em>	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2245	H	FUNcomplex	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1286	R	Lactobacillus ncRNA 9j6y	ok		1	1	526	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2246	T	DcmC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R0281	R	2F RNA 6-helix bundle dimer	ok		1	1	718	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1278	T	Dehydrogenase	ok		1	1	380	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1279	T	Bd1369	ok		1	1	428	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2258	H	LRRK2/14-3-3 complex	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1282	M	Spike-RBD/Aptamer complex	ok		2	2	249	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1280	T	C-terminal domain of bacteriophage K gp155 9f5m	ok		1	1	237	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2257	T	P13390	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M0287	M	Q0X0A9_STRLS	ok		2	2	852	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1250	R	GOLLD full env46	ok		1	1	744	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1251	R	GOLLD full env38 9mee	ok		1	1	833	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2259	T	AZI86_00190	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2265	H	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R0283	R	Enterococcus ncRNA	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2274	T	CAB14884.3	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R0285	R	OLE	ok		1	1	577	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1284	T	gp62	ok		1	1	120	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H1272	H	dystrophin-glycoprotein complex (DGC) 9c3c	ok		9	9	6879	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2267	H	XauSPARDA	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R0290	R	HYER1-withoutTRS	ok		1	1	627	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S2	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	363	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S3	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	318	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S4	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	289	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S5	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	291	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S6	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	624	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S7	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	242	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S8	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	818	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1272S9	T	dystrophin-glycoprotein complex (DGC) 9c3c	ok		1	1	238	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1276	M	One domain of  A0A026WM60_OOCBI in complex with 33mer ssDNA	ok		2	2	73	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1289	R	Precursor tRNA	ok		1	1	284	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1276	T	One domain of  A0A026WM60_OOCBI in complex with 33mer ssDNA	ok		1	1	40	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1288	R	SAMURI	ok		1	1	58	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S1	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S2	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S3	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S4	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S5	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S6	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S7	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2271S8	T	RECC	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1291	R	O.I.intron-fulllength	ok		1	1	480	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2270	T	HtrA	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1293	M	Translation enhancer motif	ok		3	3	524	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1293	R	Translation enhancer motif	ok		1	1	82	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1292	T	isocyanide hydratase-like iron binding protein	ok		1	1	196	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1281	R	2F RNA 6-helix bundle dimer	ok		1	1	718	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2278	T	Dehydrogenase	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2279	T	Bd1369	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1294V1	T	Isocyanide hydratase	ok		1	1	214	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1294V2	T	Isocyanide hydratase	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2280	T	C-terminal domain of bacteriophage K gp155 9f5m	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1287	M	Q0X0A9_STRLS	ok		2	2	852	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1200	T	WT_ZLBT-C	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1295	T	TM_Ag	ok		1	1	469	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1300	T	Gly6_ZLBT-C	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1296	M	G34U mutant of M1209 complex 9c75	ok		3	3	520	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1283V1	R	Enterococcus ncRNA 9isv	ok		1	1	580	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1283V2	R	Enterococcus ncRNA 9j3r	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1283V3	R	Enterococcus ncRNA 9j3t	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1296	R	G34U mutant of M1209 complex 9c75	ok		1	1	72	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1297	M	Telomerase	ok		6	6	1887	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1285	R	OLE 9mcw	ok		1	1	577	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2284	T	gp62	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2272	H	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1290	R	HYER1-withoutTRS	ok		1	1	627	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1269V1	T	MUC5AC uniprot P98088 9gvq	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1298	T	Cyclic nucleotide-binding protein  9sfa	ok		1	1	342	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S2	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S3	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S4	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S5	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S6	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S7	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S8	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2272S9	T	dystrophin-glycoprotein complex (DGC) 9c3c	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1219V1	T	HD6 uniprot Q01524	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1219V2	T	HD6 uniprot Q01524	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1299	T	9FJL 9fjl	ok		1	1	168	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2276	T	One domain of  A0A026WM60_OOCBI in complex with 33mer ssDNA	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
L5001	L	WDR55_apo	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
L5001V1	L	WDR55_apo	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1261V1	R	ZTP riboswitch 9bzc	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1262V1	R	ZTP riboswitch with AICA 9bz1	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1263V1	R	ZTP riboswitch with m-1-pyridinyl AICA 8vqv	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1264V1	R	ZTP riboswitch with AICA derivative 8vvj	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
